"","Item","Loading","Coef"
"287","Bacon","PC10",-0.0991723704779125
"288","Avocado","PC10",0.0395153848927378
"289","Corn","PC10",-0.0309138345610195
"290","Zucchini","PC10",0.163349845827416
"291","Beef","PC11",0.042643633638672
"292","Pico","PC11",0.207853830550517
"293","Cheese","PC11",0.0549467644479644
"294","Fries","PC11",-0.370118638833692
"295","Sour_cream","PC11",-0.08322839017486
"296","Pork","PC11",0.10571157567559
"297","Chicken","PC11",-0.153513472307485
"298","Shrimp","PC11",0.0365823407721302
"299","Fish","PC11",-0.0949119485216853
"300","Tomato","PC11",0.032033365542682
"301","Bell_pepper","PC11",-0.162805114809301
"302","Carrots","PC11",-0.0737105333557577
"303","Cabbage","PC11",0.101910705035565
"304","Sauce","PC11",-0.0632954572911665
"305","Salsa","PC11",0.483200777152851
"306","Cilantro","PC11",-0.135106718115717
"307","Onion","PC11",-0.222495697144422
"308","Taquito","PC11",-0.215155715718183
"309","Pineapple","PC11",0.215763845110093
"310","Ham","PC11",0.1603728834425
"311","Chile_relleno","PC11",0.165967506901708
"312","Nopal","PC11",0.0923381188023996
"313","Lobster","PC11",0.259539111904733
"314","Egg","PC11",-0.18546442642882
"315","Mushroom","PC11",0.0556657633603521
"316","Bacon","PC11",0.219601954928662
"317","Avocado","PC11",0.068867651856412
"318","Corn","PC11",-0.0679956326934491
"319","Zucchini","PC11",-0.311887629489469
"320","Beef","PC12",0.0728079883444756
"321","Pico","PC12",-0.0847872565607206
"322","Cheese","PC12",-0.0281236531153005
"323","Fries","PC12",-0.0671724902286347
"324","Sour_cream","PC12",-0.205612102580403
"325","Pork","PC12",0.0117593336448826
"326","Chicken","PC12",-0.156509926070593
"327","Shrimp","PC12",-0.320324646289337
"328","Fish","PC12",-0.0146913513080986
"329","Tomato","PC12",-0.100887767453603
"330","Bell_pepper","PC12",-0.0825327863498499
"331","Carrots","PC12",0.27485176468027
"332","Cabbage","PC12",0.0175347669404774
"333","Sauce","PC12",-0.0020013427537155
"334","Salsa","PC12",-0.0849783453174137
"335","Cilantro","PC12",-0.072317283131651
"336","Onion","PC12",-0.058367223407586
"337","Taquito","PC12",0.604045071107865
"338","Pineapple","PC12",-0.0498018246772837
"339","Ham","PC12",-0.0385367599100322
"340","Chile_relleno","PC12",0.137979919373587
"341","Nopal","PC12",0.535704077985526
"342","Lobster","PC12",0.131336159759117
"343","Egg","PC12",0.0106280322786715
"344","Mushroom","PC12",0.0147684141616091
"345","Bacon","PC12",0.0706716906976224
"346","Avocado","PC12",-0.0471913649082545
"347","Corn","PC12",-0.0529307014404575
"348","Zucchini","PC12",-0.0362497672941515
"349","Beef","PC13",-0.1331559813427
"350","Pico","PC13",-0.259455361638094
"351","Cheese","PC13",0.11916987302535
"352","Fries","PC13",0.265447977463474
"353","Sour_cream","PC13",-0.184226712414645
"354","Pork","PC13",0.0093190150897052
"355","Chicken","PC13",0.0624017478970646
"356","Shrimp","PC13",0.192857061023612
"357","Fish","PC13",0.214768932632259
"358","Tomato","PC13",-0.222307178616871
"359","Bell_pepper","PC13",-0.311419464933397
"360","Carrots","PC13",0.0798948781219531
"361","Cabbage","PC13",0.0964931586781361
"362","Sauce","PC13",0.329389457636224
"363","Salsa","PC13",0.175167807699203
"364","Cilantro","PC13",0.0757294441824673
"365","Onion","PC13",-0.13993620917157
"366","Taquito","PC13",0.171487759005054
"367","Pineapple","PC13",0.28062675169141
"368","Ham","PC13",0.00901817273882648
"369","Chile_relleno","PC13",-0.106647957994284
"370","Nopal","PC13",-0.129710119976054
"371","Lobster","PC13",-0.315307158172049
"372","Egg","PC13",-0.211518781406226
"373","Mushroom","PC13",0.106011683538532
"374","Bacon","PC13",0.298924822038946
"375","Avocado","PC13",-0.0196954384795403
"376","Corn","PC13",-0.029469404214367
"377","Zucchini","PC13",-0.00213992397829175
"378","Beef","PC14",-0.176856657205721
"379","Pico","PC14",-0.172968625744652
"380","Cheese","PC14",-0.130430935923936
"381","Fries","PC14",-0.253456730203538
"382","Sour_cream","PC14",0.166064624523255
"383","Pork","PC14",0.0697630822638706
"384","Chicken","PC14",0.160949364566878
"385","Shrimp","PC14",0.372836580071393
"386","Fish","PC14",-0.106209495516307
"387","Tomato","PC14",-0.0095736823474171
"388","Bell_pepper","PC14",0.0257599464474834
"389","Carrots","PC14",0.496684273724786
"390","Cabbage","PC14",-0.00639169024194828
